addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
대구광역시 달서구 달서대로109길 70 (호산동),,4,A02,A0202,A02020700,2744539,12,20210915000426,http://tong.visitkorea.or.kr/cms/resource/48/3534948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3534948_image3_1.jpg,Type1,128.4840036451,35.8485703609,6,20250910175417,2,,호산공원,42709,27,290,VE,VE03,VE030500
대구광역시 남구 안지랑로16길 67,,4,A02,A0203,A02030600,998882,12,20100414231220,http://tong.visitkorea.or.kr/cms/resource/56/3534556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3534556_image3_1.jpg,Type1,128.5751903786,35.8369094686,6,20250910144924,1,,안지랑 곱창골목,42487,27,200,VE,VE04,VE040100
대구광역시 중구 국채보상로102길 50 (동산동),,4,A02,A0201,A02010900,250329,12,20071023090000,http://tong.visitkorea.or.kr/cms/resource/10/3534510_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3534510_image3_1.jpg,Type1,128.5864051864,35.8682366852,6,20250910143031,8,,대구제일교회,41931,27,110,HS,HS03,HS030200
대구광역시 수성구 들안로 80 (두산동),,4,A05,A0502,A05020100,2766487,39,20211102200309,http://tong.visitkorea.or.kr/cms/resource/25/2766725_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/25/2766725_image2_1.png,Type3,128.6171561221,35.8370879995,6,20250910114254,7,,양곱화,42169,27,260,FD,FD01,FD010100
대구광역시 수성구 동대구로20길 66 (지산동),,4,A05,A0502,A05020300,2766477,39,20211102195838,http://tong.visitkorea.or.kr/cms/resource/35/2766735_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2766735_image3_1.jpg,Type3,128.6278940369,35.8381380787,6,20250910114039,7,,후꾸스시,42177,27,260,FD,FD02,FD020200
인천광역시 중구 영종해안남로 19-5 (운서동),,2,B02,B0201,B02010100,3464661,32,20250108140114,http://tong.visitkorea.or.kr/cms/resource/15/3475015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3475015_image3_1.jpg,Type3,126.4253948792,37.4246137307,6,20250910132502,10,032-743-9245,네스트호텔,22382,28,110,AC,AC01,AC010100
인천광역시 연수구 인천타워대로 250 (송도동),트라이보울,2,A02,A0207,A02070200,3522928,15,20250819093052,http://tong.visitkorea.or.kr/cms/resource/31/3522831_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/3522831_image3_1.jpg,Type3,126.6349460632,37.3935321271,6,20250910094057,8,033-833-5993,송도 트라이보울 재즈 페스티벌,22004,28,185,EV,EV01,EV010200
인천광역시 중구 대무의로 310-11,,2,A01,A0101,A01011300,126797,12,20040127090000,http://tong.visitkorea.or.kr/cms/resource/95/3532995_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3532995_image3_1.jpg,Type1,126.4249153348,37.3893400446,6,20250909173100,10,,무의도,22387,28,110,NA,NA02,NA020500
인천광역시 강화군 강화읍 남문로 52,,2,A02,A0206,A02060700,129867,14,20071106103340,http://tong.visitkorea.or.kr/cms/resource/33/3532833_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3532833_image3_1.jpg,Type1,126.4879775686,37.7425639138,6,20250909173100,1,,강화문화원,23037,28,710,VE,VE09,VE090100
인천광역시 중구 월미로 131-31 (북성동1가),,2,A02,A0202,A02020700,879086,12,20091127181236,http://tong.visitkorea.or.kr/cms/resource/69/3532869_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3532869_image3_1.jpg,Type1,126.6041549279,37.4757498100,6,20250909173100,10,,월미공원,22304,28,110,VE,VE03,VE030100
광주광역시 남구 사직길 49 (사동),,5,A02,A0201,A02010900,127072,12,20020510090000,http://tong.visitkorea.or.kr/cms/resource/21/3029021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3029021_image3_1.jpg,Type3,126.9118638245,35.1419253355,6,20250910150140,2,,사직단,61638,29,155,HS,HS03,HS030400
광주광역시 동구 금남로 221 (금남로3가),,5,A02,A0206,A02060200,2755010,14,20211008200027,http://tong.visitkorea.or.kr/cms/resource/32/3532032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3532032_image3_1.jpg,Type1,126.9167687536,35.1496023298,6,20250904190415,3,,5·18민주화운동 기록관,61475,29,110,VE,VE07,VE070200
광주광역시 서구 마륵벽진길 23,(마륵동),5,A04,A0401,A04010600,2765207,38,20211101182838,http://tong.visitkorea.or.kr/cms/resource/27/3528427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3528427_image3_1.jpg,Type1,126.8455168899,35.1428074499,6,20250902140619,5,,상무화훼단지,61999,29,140,SH,SH05,SH050200
광주광역시 서구 매월2로 16,(매월동),5,A04,A0401,A04010200,2783783,38,20211130225947,http://tong.visitkorea.or.kr/cms/resource/21/3528421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3528421_image3_1.jpg,Type1,126.8586608367,35.1161856771,6,20250902135547,5,,서부농수산물도매시장,62072,29,140,SH,SH06,SH060200
광주광역시 북구 동림동 130-15,,5,A02,A0202,A02020700,2783824,12,20211130232324,http://tong.visitkorea.or.kr/cms/resource/20/3528420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3528420_image3_1.jpg,Type1,126.8619975926,35.1897079853,6,20250902134937,4,,산동교친수공원,,29,170,VE,VE03,VE030500
대전광역시 유성구 가정로 310-14 (도룡동),,3,A05,A0502,A05020900,2899393,39,20221107100640,http://tong.visitkorea.or.kr/cms/resource/86/2899386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2899386_image3_1.jpg,Type3,127.3770678034,36.3849059834,6,20250910175648,4,,코너스톤에이치(cornerstone H),34130,30,200,FD,FD05,FD050100
대전광역시 유성구 갑동로 12 (갑동),,3,A05,A0502,A05020100,2899380,39,20221107100235,http://tong.visitkorea.or.kr/cms/resource/72/2899372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2899372_image3_1.jpg,Type3,127.2893207348,36.3614904413,6,20250910175258,4,,갑동숯불민물장어,34150,30,200,FD,FD01,FD010100
대전광역시 유성구 지족동로 146 (지족동),,3,A05,A0502,A05020900,2899345,39,20221107094945,http://tong.visitkorea.or.kr/cms/resource/41/2899341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2899341_image3_1.jpg,Type3,127.3087655308,36.3868073321,6,20250910174745,4,,꾸드뱅,34073,30,200,FD,FD03,FD030100
대전광역시 유성구 금남구즉로 1421 (봉산동),,3,A05,A0502,A05020100,2899332,39,20221107094429,http://tong.visitkorea.or.kr/cms/resource/29/2899329_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2899329_image3_1.jpg,Type3,127.3852238385,36.4425273090,6,20250910174428,4,,대청장어가 본점,34003,30,200,FD,FD01,FD010100
대전광역시 유성구 엑스포로539번길 270 (탑립동),,3,A05,A0502,A05020100,2899325,39,20221107093923,http://tong.visitkorea.or.kr/cms/resource/20/2899320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2899320_image3_1.jpg,Type3,127.3944988712,36.4108394356,6,20250910174138,4,,떡갈나무집,34040,30,200,FD,FD01,FD010100
울산광역시 남구 장생포고래로 244,,7,A04,A0401,A04010900,3110778,38,20240320141622,http://tong.visitkorea.or.kr/cms/resource/45/3454245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3454245_image3_1.jpg,Type1,129.3808374607,35.5032009945,6,20250910131314,2,,장생포고래박물관,44780,31,140,SH,SH05,SH050300
울산광역시 울주군 서생면 진하리,,7,A01,A0101,A01011200,126096,12,20030707090000,http://tong.visitkorea.or.kr/cms/resource/33/3060633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3060633_image3_1.jpg,Type1,129.3451995038,35.3827277372,6,20250910111655,5,,진하해수욕장,45013,31,710,NA,NA02,NA020900
울산광역시 동구 남진길 80-12 (방어동),,7,A05,A0502,A05020100,2873207,39,20221024141921,http://tong.visitkorea.or.kr/cms/resource/95/2873195_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2873195_image3_1.jpg,Type3,129.4141380081,35.4793792976,6,20250903103057,3,,순례국밥,44108,31,170,FD,FD01,FD010100
울산광역시 북구 달천철장길 58 (달천동),,7,A02,A0202,A02020700,2872004,12,20221020151949,http://tong.visitkorea.or.kr/cms/resource/92/2871992_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2871992_image3_1.JPG,Type3,129.3290188345,35.6342825006,6,20250903102831,4,,달천철장유적공원,44205,31,200,VE,VE03,VE030400
울산광역시 북구 명촌23길 31 (진장동),,7,A05,A0502,A05020400,2871930,39,20221020145647,http://tong.visitkorea.or.kr/cms/resource/17/2871917_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/17/2871917_image3_1.JPG,Type3,129.3566297288,35.5566889718,6,20250903102542,4,,북경짜장,44254,31,200,FD,FD02,FD020100
경기도 과천시 자하동길 18 (중앙동),,31,A02,A0201,A02010700,128580,12,20050914090000,http://tong.visitkorea.or.kr/cms/resource/98/3534998_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3534998_image3_1.JPG,Type3,126.9874350747,37.4334643048,6,20250910181902,3,,과천향교,13800,41,290,HS,HS01,HS010900
경기도 화성시 서신면 송교리 377-46,,31,A02,A0205,A02050100,2737275,12,20210830183858,http://tong.visitkorea.or.kr/cms/resource/62/3534862_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3534862_image3_1.jpg,Type1,126.6557640897,37.1743356922,6,20250910172443,31,,제부도워터워크,,41,590,VE,VE01,VE010300
경기도 수원시 팔달구 장안동,334,31,A02,A0207,A02070200,2751090,15,20210929044009,http://tong.visitkorea.or.kr/cms/resource/14/3531214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3531214_image3_1.jpg,Type3,127.0096872014,37.2855624044,6,20250910164712,13,031-290-3622,수원화성 미디어아트,16250,41,115,EV,EV01,EV010200
경기도 용인시 처인구 모현읍 초부로 210,,31,A03,A0304,A03040300,131918,28,20070410090000,http://tong.visitkorea.or.kr/cms/resource/06/3534806_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/06/3534806_image3_1.jpeg,Type3,127.2641105292,37.3145719469,6,20250910164035,23,,송골매 패러글라이딩 스쿨,17037,41,461,LS,LS03,LS030300
경기도 평택시 평택동,219-3,31,A02,A0207,A02070200,2867300,15,20221014130844,http://tong.visitkorea.or.kr/cms/resource/71/3534771_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3534771_image3_1.jpg,Type3,127.0814807340,36.9844984904,6,20250910162103,28,070-8874-3026,평택 원평나루 억새축제,17919,41,220,EV,EV01,EV010500
충청북도 증평군 증평읍 둔덕길 89,,33,A02,A0206,A02060100,1938433,14,20140731223149,http://tong.visitkorea.or.kr/cms/resource/13/3535013_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3535013_image3_1.jpg,Type1,127.5951822573,36.7639553181,6,20250910182942,12,043-835-4101,증평민속체험박물관,27948,43,745,VE,VE07,VE070100
충청북도 충주시 중앙탑면 중앙탑길 150,,33,A02,A0202,A02020700,3535008,12,20250910181637,http://tong.visitkorea.or.kr/cms/resource/41/3533941_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3533941_image3_1.jpg,Type3,127.8627259391,37.0215361310,6,20250910182035,11,,탄금호 피크닉공원,27447,43,130,VE,VE03,VE030500
충청북도 충주시 중앙탑면 감노로 2319,,33,A02,A0206,A02060300,1938381,14,20140731184527,http://tong.visitkorea.or.kr/cms/resource/07/3535007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3535007_image3_1.jpg,Type1,127.8482076062,37.0283295264,6,20250910182031,11,,충주고구려비전시관,27448,43,130,VE,VE07,VE070300
충청북도 청주시 상당구 성내로 70,,33,A02,A0201,A02010200,125964,12,20031106090000,http://tong.visitkorea.or.kr/cms/resource/36/3353836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3353836_image3_1.jpg,Type3,127.5384568526,36.6619465629,6,20250910103830,10,,청주 상당산성,28312,43,111,HS,HS01,HS010200
충청북도 괴산군 연풍면 원풍리,,33,A01,A0101,A01010800,125837,12,20030901090000,http://tong.visitkorea.or.kr/cms/resource/84/3494984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3494984_image3_1.jpg,Type1,128.0286227346,36.8070499486,6,20250910103042,1,,수옥폭포,28012,43,760,NA,NA01,NA010300
충청남도 천안시 동남구 각원사길 245 (안서동),,34,A02,A0201,A02010800,125885,12,20031205090000,http://tong.visitkorea.or.kr/cms/resource/30/3535030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3535030_image3_1.jpg,Type1,127.1964300734,36.8338567886,6,20250910183858,12,,각원사,31066,44,131,HS,HS03,HS030100
충청남도 보령시 신흑동,2282,34,A02,A0207,A02070100,506534,15,20080307184024,http://tong.visitkorea.or.kr/cms/resource/79/3534979_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3534979_image3_1.jpg,Type3,126.5150414496,36.3148684347,6,20250910175915,5,041-930-0891,보령머드축제,33487,44,180,EV,EV01,EV010100
충청남도 논산시 연무읍 봉황로 102,,34,A02,A0203,A02030400,2606192,12,20190613002823,http://tong.visitkorea.or.kr/cms/resource/86/3534786_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/3534786_image3_1.jpg,Type1,127.1060135135,36.1019974411,6,20250910164125,3,,선샤인랜드,33012,44,230,EX,EX07,EX070200
충청남도 부여군 부여읍 정림로 83,,34,A02,A0205,A02050200,126650,12,20031111090000,http://tong.visitkorea.or.kr/cms/resource/58/3355458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3355458_image3_1.jpg,Type1,126.9132621678,36.2797320991,6,20250910154548,6,,부여 정림사지 오층석탑 [유네스코 세계유산],33150,44,760,HS,HS02,HS020100
충청남도 아산시 송악면 외암민속길9번길 13-2,,34,A02,A0201,A02010600,126001,12,20030909090000,http://tong.visitkorea.or.kr/cms/resource/37/3355137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3355137_image3_1.jpg,Type1,127.0144465112,36.7310403994,6,20250910104813,9,,외암민속마을,31557,44,200,HS,HS01,HS010600
전라남도 화순군 이서면 도원길 40-28,,38,A02,A0201,A02010800,127347,12,20031027090000,http://tong.visitkorea.or.kr/cms/resource/01/3535101_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3535101_image3_1.jpg,Type1,127.0161718701,35.1182131113,6,20250910194422,24,,규봉암(화순),58103,46,790,HS,HS03,HS030100
전라남도 영광군 염산면 송암리,,38,A02,A0204,A02040400,3019001,12,20231010162718,http://tong.visitkorea.or.kr/cms/resource/83/3535083_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3535083_image3_1.jpg,Type1,126.3446587730,35.2444237096,6,20250910192349,16,,영광풍력발전단지,57067,46,870,EX,EX06,EX060900
전라남도 곡성군 죽곡면 섬진강로 1012,,38,A02,A0208,A02080500,2737313,15,20210830194359,http://tong.visitkorea.or.kr/cms/resource/61/3534861_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3534861_image3_1.jpg,Type3,127.3775297835,35.1919998595,6,20250910170641,3,010-2344-5004,2025섬진강국제실험예술제(SIEAF),57551,46,720,EV,EV03,EV030100
전라남도 구례군 구례읍 원방리 1,,38,A03,A0302,A03022700,2714103,28,20210420022328,http://tong.visitkorea.or.kr/cms/resource/18/3534818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/3534818_image3_1.jpg,Type1,127.4653083040,35.1863492369,6,20250910170035,5,,섬진강 대나무숲길,,46,730,LS,LS01,LS011900
전라남도 광양시 구봉산전망대길 155,,38,A02,A0205,A02050600,2654617,12,20200428194302,http://tong.visitkorea.or.kr/cms/resource/61/3534661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3534661_image3_1.jpg,Type1,127.6427324447,34.9365220881,6,20250910161820,4,,구봉산 전망대,57769,46,230,VE,VE01,VE010200
경상북도 봉화군 상운면 하눌리,216,35,A01,A0101,A01011800,131637,12,20020624090000,http://tong.visitkorea.or.kr/cms/resource/80/3528580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3528580_image3_1.jpg,Type3,128.7857251454,36.8822499508,6,20250910180329,8,,하눌저수지,36243,47,920,NA,NA02,NA020300
경상북도 포항시 남구 효자동길10번길 33,,35,A05,A0502,A05020300,2839215,39,20220818161727,http://tong.visitkorea.or.kr/cms/resource/06/2839206_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/06/2839206_image3_1.png,Type3,129.3333049637,36.0092902775,6,20250910172813,23,,담박집,37664,47,111,FD,FD02,FD020200
경상북도 경주시 인왕동,,35,A02,A0201,A02010200,128117,12,20040419090000,http://tong.visitkorea.or.kr/cms/resource/33/3534833_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3534833_image3_1.jpg,Type1,129.2250084253,35.8321721215,6,20250910172353,2,,경주 월성,38172,47,130,HS,HS01,HS010200
경상북도 포항시 남구 호미로 227-6,,35,A05,A0502,A05020100,2839194,39,20220818160736,http://tong.visitkorea.or.kr/cms/resource/84/2839184_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2839184_image3_1.jpg,Type3,129.5552721499,35.9909215972,6,20250910170612,23,,유림식당,37933,47,111,FD,FD01,FD010100
경상북도 고령군 대가야읍 지산리,,35,A02,A0201,A02010200,128079,12,20040319090000,http://tong.visitkorea.or.kr/cms/resource/03/1004703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1004703_image3_1.jpg,Type3,128.2543215725,35.7308433869,6,20250910170024,3,,고령 주산성,40138,47,830,HS,HS01,HS010200
경상남도 합천군 삼가면 남명로 72-5,,36,A02,A0201,A02010700,1959953,12,20141024200930,http://tong.visitkorea.or.kr/cms/resource/79/3535079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3535079_image3_1.jpg,Type1,128.1040275255,35.3824911389,6,20250910191056,21,,용암서원(합천),50224,48,890,HS,HS01,HS010900
경상남도 김해시 진례면 분청로 25,,36,A02,A0206,A02060500,130841,14,20060608090000,http://tong.visitkorea.or.kr/cms/resource/43/3535043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3535043_image3_1.jpg,Type1,128.7450221111,35.2516924387,6,20250910185800,4,,클레이아크 김해미술관,50874,48,250,VE,VE07,VE070600
경상남도 산청군 금서면 친환경로2506번길 85,,36,A02,A0201,A02010600,2794635,12,20211214031744,http://tong.visitkorea.or.kr/cms/resource/41/3535041_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3535041_image3_1.JPG,Type3,127.8584760530,35.4147359120,6,20250910184201,9,,대장마을,52214,48,860,HS,HS01,HS010600
경상남도 통영시 당동,,36,A02,A0205,A02050100,1622614,12,20120504230656,http://tong.visitkorea.or.kr/cms/resource/88/3534988_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3534988_image3_1.jpg,Type1,128.4094208528,34.8344720129,6,20250910180924,17,,충무교와 통영운하,53065,48,220,VE,VE01,VE010300
경상남도 통영시 산양읍 삼덕리,,36,A02,A0201,A02010200,127270,12,20040107090000,http://tong.visitkorea.or.kr/cms/resource/76/3534976_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3534976_image3_1.jpg,Type1,128.3847574221,34.7929651028,6,20250910175845,17,,당포성지,53083,48,220,HS,HS01,HS010200
제주특별자치도 서귀포시 표선면 민속해안로 631-34,,39,A02,A0206,A02060100,130474,14,20071106105947,http://tong.visitkorea.or.kr/cms/resource/43/3534943_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3534943_image3_1.jpg,Type1,126.8431022619,33.3213162956,6,20250910173930,3,,제주민속촌,63629,50,130,VE,VE07,VE070100
제주특별자치도 서귀포시 중문관광로 93,(색달동),39,A01,A0101,A01010700,126464,12,20040224090000,http://tong.visitkorea.or.kr/cms/resource/18/3011818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/3011818_image3_1.jpg,Type1,126.4142854128,33.2526059401,6,20250910134940,3,,여미지식물원,63535,50,130,NA,NA04,NA040700
제주특별자치도 제주시 산록북로 660,(아라일동),39,A02,A0201,A02010800,126456,12,20030721090000,http://tong.visitkorea.or.kr/cms/resource/64/3384664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3384664_image3_1.jpg,Type3,126.5581440803,33.4237615317,6,20250910133915,4,,관음사(제주),63244,50,110,HS,HS03,HS030100
제주특별자치도 서귀포시 안덕면 동광로 126,,39,A02,A0203,A02030100,2390111,12,20160627223546,http://tong.visitkorea.or.kr/cms/resource/15/3024315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3024315_image3_1.jpg,Type3,126.3399267501,33.3076403586,6,20250910132733,3,,동광리농촌체험마을,63523,50,130,EX,EX03,EX030100
제주특별자치도 서귀포시 산록남로 2847-37,(상효동),39,A01,A0101,A01010700,2738734,12,20210901220507,http://tong.visitkorea.or.kr/cms/resource/13/3533613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3533613_image3_1.jpg,Type1,126.5860192949,33.3072442933,6,20250910092128,3,,상효원수목원,63577,50,130,NA,NA04,NA040700
강원특별자치도 평창군 진부면 진고개로 231,,32,A01,A0101,A01010700,2792635,12,20211213191002,http://tong.visitkorea.or.kr/cms/resource/18/3440118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/3440118_image3_1.jpg,Type3,128.5978427847,37.6898700479,6,20250910190417,15,,켄싱턴 프렌치 가든,25322,51,760,NA,NA04,NA040700
강원특별자치도 평창군 봉평면 애강나무길 14,,32,A01,A0101,A01010500,2798331,12,20211215193533,http://tong.visitkorea.or.kr/cms/resource/68/3535068_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3535068_image3_1.jpg,Type3,128.3762625265,37.6063949106,6,20250910185613,15,,[효석문학100리길 1코스] 문학의 길,25304,51,760,NA,NA05,NA050100
강원특별자치도 평창군 용평면 운두령로 1243,,32,A01,A0101,A01010400,125612,12,20031209090000,http://tong.visitkorea.or.kr/cms/resource/37/3535037_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3535037_image3_1.jpg,Type3,128.4445449860,37.7071512180,6,20250910184410,15,,계방산(평창),25312,51,760,NA,NA01,NA010100
강원특별자치도 평창군 진부면 오대산로 1211-50,,32,A02,A0201,A02010800,125771,12,20040216090000,http://tong.visitkorea.or.kr/cms/resource/93/3534993_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3534993_image3_1.jpg,Type3,128.5563466100,37.7783312300,6,20250910182001,15,,상원사(오대산),25318,51,760,HS,HS03,HS030100
강원특별자치도 원주시 문막읍 반저리2길 42,,32,A01,A0102,A01020100,2613436,12,20190729200604,http://tong.visitkorea.or.kr/cms/resource/56/3388656_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/56/3388656_image3_1.JPG,Type3,127.7879665088,37.2939311194,6,20250910180414,9,,원주 반계리 은행나무,26361,51,130,NA,NA03,NA030200
